WRN 2026-02-26T22:20:03.938 ui.28779   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:20:03.938 ui.28779   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:28:31.142 ui.29125   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:28:31.142 ui.29125   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:28:31.143 ui.29125   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:28:31.143 ui.29125   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:28:31.143 ui.29125   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:28:53.530 ui.29473   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:28:53.531 ui.29473   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:28:53.531 ui.29473   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:28:53.531 ui.29473   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:28:53.531 ui.29473   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-27T07:46:30.016 ui.30551   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-27T07:46:30.017 ui.30551   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-27T07:46:30.017 ui.30551   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-27T07:46:30.017 ui.30551   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-27T07:46:30.017 ui.30551   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
